+----------+---------------------------------------------------+---------------------------+-----------------+---------------------+-----------------------------------------------------------------------------+----------------------+----------+-------------+-------------------+---------------+
| plant_id |                  scientific_name                  |        common_name        |  plant_family   |     plant_type      |                                sunlight_list                                |        cycle         | watering | maintenance | pruning_frequency | toxic_to_pets |
|   1226   |             Begonia (Tuberosa Group)              |  hybrid tuberous begonia  |   Begoniaceae   |        Bulb         |                     ["part sun/part shade","full sun"]                      |      Perennial       | Average  |    High     |  2 time per year  |       0       |
|   1272   |                Bertolonia maculata                |        jewel plant        | Melastomataceae |       Creeper       |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Frequent |  Moderate   |  1 time per year  |       0       |
|   1416   |     Buxus microphylla 'Peergold' GOLDEN DREAM     |          boxwood          |    Buxaceae     | Broadleaf evergreen | ["filtered shade","full sun only if soil kept moist","part sun/part shade"] |      Perennial       | Average  |  Moderate   |  2 time per year  |       0       |
|   1457   |                 Caladium bicolor                  |        angel wings        |     Araceae     |        Bulb         |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |  Moderate   |                   |       0       |
|   1468   |               Calanthe 'Kozu Spice'               |          orchid           |   Orchidaceae   |       Orchid        |                  ["part sun/part shade","filtered shade"]                   |      Perennial       | Frequent |  Moderate   |  1 time per year  |       0       |
|   1469   |                Calathea lancifolia                |     rattlesnake plant     |   Marantaceae   |        Herb         |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1470   |                 Calathea makoyana                 |       peacock plant       |   Marantaceae   |        Herb         |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1471   |                 Calathea zebrina                  |        zebra plant        |   Marantaceae   |        Herb         |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   1597   |           Capsicum annuum 'Black Pearl'           |     ornamental pepper     |   Solanaceae    |        Fruit        |                                ["full sun"]                                 | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1598   |       Capsicum annuum 'Chinese Five Color'        |     ornamental pepper     |   Solanaceae    |        Fruit        |                     ["full sun","part sun/part shade"]                      | Herbaceous Perennial | Frequent |     Low     |                   |       0       |
|   1601   |            Capsicum annuum 'Onyx Red'             |     ornamental pepper     |   Solanaceae    |        Fruit        |                                ["full sun"]                                 | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1603   |          Capsicum annuum 'Purple Flash'           |     ornamental pepper     |   Solanaceae    |        Fruit        |                                ["full sun"]                                 | Herbaceous Perennial | Average  |     Low     |  2 time per year  |       0       |
|   1716   |                 Cattleya (group)                  |          orchid           |   Orchidaceae   |       Orchid        |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |  Moderate   |                   |       0       |
|   1820   |                Chamaedorea elegans                |        parlor palm        |    Arecaceae    |    Palm or Cycad    |                               ["part shade"]                                |      Perennial       | Average  |     Low     |  1 time per year  |       0       |
|   1821   |              Chamaedorea microspadix              |        chamaedorea        |    Arecaceae    |    Palm or Cycad    |                               ["part shade"]                                |      Perennial       | Frequent |     Low     |                   |       0       |
|   1822   |               Chamaedorea seifrizii               |        bamboo palm        |    Arecaceae    |    Palm or Cycad    |                               ["part shade"]                                |      Perennial       | Average  |     Low     |  1 time per year  |       0       |
|   1845   |              Chlorophytum amaniense               |    St. Bernard's lily     |  Asparagaceae   |        Herb         |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Minimum  |     Low     |                   |       0       |
|   1846   |               Chlorophytum 'Bonnie'               |       spider plant        |  Asparagaceae   |        Shrub        |                       ["part shade","filtered shade"]                       | Herbaceous Perennial | Average  |     Low     |  1 time per year  |       0       |
|   1847   |          Chlorophytum comosum 'Vittatum'          |       spider plant        |  Asparagaceae   |        Shrub        |                         ["part shade","full shade"]                         | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1848   |             Chlorophytum 'Fire Flash'             |       spider plant        |  Asparagaceae   |        Shrub        |                               ["part shade"]                                | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1855   |          Chrysanthemum 'Fireworks Igloo'          |       chrysanthemum       |   Asteraceae    |    Chrysanthemum    |                                ["full sun"]                                 | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1864   |           Chrysanthemum 'Radiant Igloo'           |       chrysanthemum       |   Asteraceae    |    Chrysanthemum    |                                ["full sun"]                                 | Herbaceous Perennial | Frequent |     Low     |                   |       0       |
|   1868   |            Chrysanthemum 'Yobra' BRAVO            |       chrysanthemum       |   Asteraceae    |    Chrysanthemum    |                                ["full sun"]                                 | Herbaceous Perennial | Frequent |     Low     |                   |       0       |
|   1870   |           Chrysanthemum 'Yogin' GINGER            |       chrysanthemum       |   Asteraceae    |    Chrysanthemum    |                                ["full sun"]                                 | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1871   |         Chrysanthemum 'Yogrena' GRENADINE         |       chrysanthemum       |   Asteraceae    |    Chrysanthemum    |                                ["full sun"]                                 | Herbaceous Perennial | Average  |     Low     |  1 time per year  |       0       |
|   1873   |          Chrysanthemum 'Yoraquel' RAQUEL          |       chrysanthemum       |   Asteraceae    |    Chrysanthemum    |                                ["full sun"]                                 | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1891   |                   Citrus meyeri                   |        meyer lemon        |    Rutaceae     | Broadleaf evergreen |                          ["full sun","part shade"]                          |      Perennial       | Minimum  |  Moderate   |                   |       0       |
|   1971   |              Clerodendrum thomsoniae              |      bleeding heart       |    Lamiaceae    |        Vine         |                          ["part shade","full sun"]                          |      Perennial       | Average  |  Moderate   |  1 time per year  |       0       |
|   1993   |                  Clivia miniata                   |        Natal lily         | Amaryllidaceae  |        Shrub        |                          ["part shade","full sun"]                          | Herbaceous Perennial | Average  |     Low     |                   |       0       |
|   1999   |                Codiaeum variegatum                |          croton           |  Euphorbiaceae  | Broadleaf evergreen |                          ["part shade","full sun"]                          |      Perennial       | Average  |  Moderate   |  1 time per year  |       1       |
|   2000   |          Codiaeum variegatum var. pictum          |          croton           |  Euphorbiaceae  | Broadleaf evergreen |                                ["full sun"]                                 |      Perennial       | Average  |  Moderate   |                   |       0       |
|   2030   |                Columnea microcalyx                |         columnea          |  Gesneriaceae   |        Vine         |                     ["full sun","part sun/part shade"]                      |      Perennial       | Average  |  Moderate   |                   |       0       |
|   2193   |                  Crassula ovata                   |        jade plant         |  Crassulaceae   | Broadleaf evergreen |                                ["full sun"]                                 |      Perennial       | Minimum  |     Low     |                   |       0       |
|   2242   |           Crossandra infundibuliformis            |    firecracker flower     |   Acanthaceae   | Broadleaf evergreen |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |  Moderate   |                   |       0       |
|   2244   |                Cryptanthus (group)                |        cryptanthus        |  Bromeliaceae   | Broadleaf evergreen |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |  Moderate   |  2 time per year  |       0       |
|   2263   |               Cuphea VERMILLIONAIRE               |          cuphea           |   Lythraceae    |        Shrub        |                     ["full sun","part sun/part shade"]                      |        Annual        | Frequent |     Low     |                   |       0       |
|   2272   |                  Cycas revoluta                   |         Sago palm         |   Cycadaceae    |    Palm or Cycad    |                          ["full sun","part shade"]                          |      Perennial       | Average  |     Low     |                   |       1       |
|   2274   |               Cyclamen hederifolium               |      Persian violet       |   Primulaceae   |        Herb         |                  ["filtered shade","part sun/part shade"]                   | Herbaceous Perennial | Average  |  Moderate   |                   |       1       |
|   2275   |                 Cyclamen persicum                 |         cyclamen          |   Primulaceae   |        Bulb         |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |  Moderate   |                   |       0       |
|   2277   |              Cymbalaria aequitriloba              |        cymbalaria         | Plantaginaceae  |        Herb         |                    ["part shade","part sun/part shade"]                     | Herbaceous Perennial | Average  |  Moderate   |                   |       0       |
|   2287   |        Cyperus alternifolius 'Variegatus'         |      umbrella plant       |   Cyperaceae    |    Rush or Sedge    |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |  Moderate   |                   |       0       |
|   2288   |               Cyperus involucratus                |      umbrella plant       |   Cyperaceae    |    Rush or Sedge    |                          ["full sun","part shade"]                          |      Perennial       | Frequent |  Moderate   |  2 time per year  |       0       |
|   2289   |          Cyperus involucratus 'Baby Tut'          |      umbrella plant       |   Cyperaceae    |    Rush or Sedge    |                     ["part sun/part shade","full sun"]                      |      Perennial       | Minimum  |  Moderate   |                   |       0       |
|   2290   |          Cyperus involucratus 'Gracilis'          |      umbrella plant       |   Cyperaceae    |    Rush or Sedge    |                     ["full sun","part sun/part shade"]                      |      Perennial       | Average  |  Moderate   |                   |       0       |
|   2294   |                Cyrtomium falcatum                 |    Japanese holly fern    | Dryopteridaceae |        Fern         |                  ["filtered shade","part sun/part shade"]                   |      Perennial       | Frequent |  Moderate   |                   |       0       |
|   2295   |                Cyrtomium fortunei                 |    Japanese holly fern    | Dryopteridaceae |        Fern         |                         ["part shade","full shade"]                         |      Perennial       | Frequent |  Moderate   |                   |       0       |
|   2322   |                Davallia fejeensis                 |    rabbit's foot fern     |  Davalliaceae   |        Fern         |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |  Moderate   |  1 time per year  |       0       |
|   2323   |         Davallia fejeensis 'Dwarf Ripple'         |    rabbit's foot fern     |  Davalliaceae   |        Fern         |                    ["part shade","part sun/part shade"]                     |      Perennial       | Average  |  Moderate   |  1 time per year  |       0       |
|   2354   |                Dendrobium (group)                 |          orchid           |   Orchidaceae   |       Orchid        |                           ["part sun/part shade"]                           |      Perennial       | Average  |    High     |                   |       0       |
